"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"412","Sidney Crosby","PIT","C","193","4056.0666666667","79","165","93","72","244","77.46","620","12.74","67.74","1004","827","637","279","25","71","109","48","46","1","1","79","137","93","134","245","75","2241","2077","51.90"
"340","Alex Ovechkin","WSH","L","207","4251.3833333333","136","80","51","29","216","70.82","1001","13.59","94.32","2033","1482","895","234","54","73","142","71","71","0","0","83","131","107","583","287","72","4","5","44.44"
"506","Claude Giroux","PHI","C","211","4357.6333333333","66","141","68","73","207","71.38","639","10.33","51.72","1214","865","551","156","30","62","104","50","50","0","0","87","100","100","257","201","103","2638","2182","54.73"
"284","Ryan Getzlaf","ANA","C","198","4074.55","71","135","91","44","206","77.74","494","14.37","48.1","910","706","483","170","26","49","134","54","47","6","1","44","178","135","299","236","224","1679","1720","49.40"
"521","Nicklas Backstrom","WSH","C","212","4262.7833333333","44","161","72","89","205","73.21","431","10.21","43.15","775","619","437","178","21","36","114","56","56","0","0","48","86","142","211","286","141","2008","1856","51.97"
"564","Jamie Benn","DAL","L","204","4003.3833333333","81","118","69","49","199","71.33","642","12.62","71.36","1192","922","734","325","41","82","168","63","53","8","2","75","149","187","309","269","142","1036","1027","50.22"
"752","John Tavares","NYI","C","189","3945.65","90","109","66","43","199","73.70","628","14.33","77.12","1094","847","792","356","34","61","104","48","47","0","1","59","209","176","104","238","78","1766","1735","50.44"
"517","Phil Kessel","TOR","R","212","4186.5666666667","82","111","70","41","193","76.59","746","10.99","64.31","1377","1001","642","207","49","69","75","36","35","1","0","38","197","96","59","177","66","9","18","33.33"
"895","Tyler Seguin","BOS, DAL","C","199","3752.6833333333","90","103","74","29","193","74.23","735","12.24","74.89","1340","1033","662","232","26","84","54","23","22","0","1","51","135","130","136","119","56","578","655","46.88"
"617","Jakub Voracek","PHI","R","212","3766.95","67","122","66","56","189","69.23","585","11.45","49.12","1084","761","480","170","22","73","135","51","45","3","3","63","97","88","94","301","60","12","8","60.00"
"612","Patrick Kane","CHI","R","177","3507.4","79","109","73","36","188","78.66","551","14.34","52.95","962","740","561","212","28","45","40","20","20","0","0","43","78","116","49","237","38","9","16","36.00"
"534","Jonathan Toews","CHI","C","204","4048.5","79","103","61","42","182","64.77","529","14.93","57.37","813","680","558","299","23","38","97","43","41","1","1","69","80","152","109","372","52","2390","1762","57.56"
"58","Joe Thornton","S.J","C","208","3871.8666666667","34","147","84","63","181","68.56","338","10.06","38.25","620","462","335","132","17","57","88","41","39","2","0","45","229","173","116","141","81","1581","1174","57.39"
"72","Martin St. Louis","NYR, T.B","R","203","4051.0333333333","68","113","59","54","181","73.58","460","14.78","52.64","803","641","477","229","21","37","44","22","22","0","0","57","136","149","60","189","107","131","174","42.95"
"321","Joe Pavelski","S.J","C","212","4185.6333333333","94","86","61","25","180","69.77","616","15.26","75.4","1145","895","693","317","32","76","71","32","31","1","0","68","149","151","192","201","198","1659","1354","55.06"
"420","Anze Kopitar","L.A","C","208","4205.9","55","121","72","49","176","71.84","432","12.73","44.49","772","609","442","192","15","48","50","25","25","0","0","55","124","108","265","301","115","1998","1771","53.01"
"341","Evgeni Malkin","PIT","C","160","3124.0333333333","60","115","70","45","175","71.72","502","11.95","52.17","920","703","526","221","20","53","158","71","69","0","2","78","132","105","63","264","47","820","969","45.84"
"290","Corey Perry","ANA","R","192","3629.8","91","82","55","27","173","69.20","601","15.14","75.57","1049","838","697","377","43","61","204","81","72","6","3","89","123","74","194","306","73","18","48","27.27"
"344","Blake Wheeler","WPG","R","209","3988.15","73","98","67","31","171","72.77","598","12.21","64.69","1052","855","561","250","42","65","164","64","57","4","3","64","87","99","368","363","161","41","65","38.68"
"644","Steven Stamkos","T.B","C","167","3394.4666666667","97","72","50","22","169","74.45","549","17.67","61.23","1028","794","589","239","19","43","99","44","42","1","1","62","81","82","204","192","68","1135","1156","49.54"
"108","Henrik Sedin","VAN","C","200","3901.9333333333","40","128","65","63","168","73.04","268","14.93","35.82","456","355","293","151","17","25","88","44","44","0","0","49","93","76","90","155","52","1718","1835","48.35"
"271","Eric Staal","CAR","C","204","4061.8","62","106","70","36","168","73.68","626","9.90","72.17","1123","876","644","314","32","96","169","77","75","1","1","62","132","163","167","280","79","1624","1489","52.17"
"754","Matt Duchene","COL","C","200","3819.4166666667","61","107","69","38","168","77.06","556","10.97","58.83","932","753","580","265","31","57","47","22","21","1","0","74","94","133","144","246","165","1655","1513","52.24"
"892","Taylor Hall","EDM","L","173","3355.75","57","111","66","45","168","80.00","562","10.14","52.83","997","746","536","204","29","51","117","51","49","1","1","59","185","142","145","385","98","111","121","47.84"
